Sat Sep 10 19:02:09 2016    /media/simone/$imone/Backup Pc linux/Documenti/File da masterizzare/Me lo potevate dire Prim/nuovo_file cProfile.txt

         331669 function calls in 32.576 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13   18.322    1.409   18.322    1.409 {built-in method call}
        1   12.420   12.420   32.576   32.576 {built-in method mainloop}
        1    0.547    0.547    0.956    0.956 File_Setting_Up.py:3(PrendiDaFile)
    44942    0.475    0.000    0.475    0.000 {method 'index' of 'list' objects}
    43608    0.252    0.000    0.325    0.000 DoubleLinkedList.py:10(addAsLast)
        1    0.132    0.132    0.709    0.709 Algoritmo_Prim.py:47(prim)
        1    0.063    0.063    0.076    0.076 Graph_AdjacencyList.py:104(simpleSearch)
    43608    0.054    0.000    0.073    0.000 DoubleLinkedList.py:4(__init__)
    21804    0.050    0.000    0.375    0.000 Graph_AdjacencyList.py:82(insertArcW)
     1134    0.040    0.000    0.040    0.000 {method 'write' of 'file' objects}
        2    0.038    0.019    0.038    0.019 {open}
     1133    0.028    0.000    0.054    0.000 Binary.py:35(moveDown)
    43608    0.019    0.000    0.019    0.000 LinkedList.py:2(__init__)
     9549    0.018    0.000    0.018    0.000 Binary.py:15(minSon)
    15121    0.016    0.000    0.016    0.000 Binary.py:22(swap)
     4419    0.015    0.000    0.021    0.000 Binary.py:27(moveUp)
        1    0.013    0.013    0.015    0.015 random.py:277(shuffle)
    22963    0.009    0.000    0.009    0.000 {isinstance}
    10905    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
     2266    0.006    0.000    0.006    0.000 LinkedList.py:54(getFirstRecord)
     1132    0.005    0.000    0.005    0.000 Algoritmo_Prim.py:35(__repr__)
     3286    0.005    0.000    0.007    0.000 Algoritmo_Prim.py:9(__init__)
     1133    0.005    0.000    0.006    0.000 Graph_AdjacencyList.py:47(insertNode)
        1    0.004    0.004    6.064    6.064 Graph_AdjacencyList.py:219(main)
     1133    0.004    0.000    0.008    0.000 Binary.py:51(insert)
    10906    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
     3286    0.003    0.000    0.022    0.000 Binary.py:71(decreaseKey)
     1133    0.003    0.000    0.059    0.000 Binary.py:61(deleteMin)
    16568    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     3286    0.002    0.000    0.002    0.000 elements.py:8(__init__)
    10902    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
     1132    0.001    0.000    0.007    0.000 Algoritmo_Prim.py:39(__str__)
