Struttura dati utilizzata: PQbinaryHeap   Tempo impiegato: 1.741 s 
 
Peso totale: 1452948.0
 
MST: 
 
(0, 28, 160.0)
(0, 19, 431.0)
(0, 18, 608.0)
(18, 6, 7.0)
(18, 37, 130.0)
(6, 8, 172.0)
(8, 102, 181.0)
(18, 136, 191.0)
(6, 15, 233.0)
(15, 9, 51.0)
(9, 113, 94.0)
(15, 213, 201.0)
(15, 210, 224.0)
(9, 122, 254.0)
(9, 127, 276.0)
(127, 195, 175.0)
(195, 217, 19.0)
(195, 209, 171.0)
(209, 675, 46.0)
(209, 399, 204.0)
(209, 641, 208.0)
(217, 104, 260.0)
(104, 647, 16.0)
(104, 467, 187.0)
(467, 551, 45.0)
(551, 410, 91.0)
(551, 725, 136.0)
(551, 437, 177.0)
(104, 128, 188.0)
(128, 640, 199.0)
(217, 198, 302.0)
(198, 648, 196.0)
(648, 141, 96.0)
(141, 140, 12.0)
(725, 142, 318.0)
(142, 331, 236.0)
(331, 139, 77.0)
(139, 395, 38.0)
(395, 570, 110.0)
(395, 889, 189.0)
(331, 55, 250.0)
(55, 326, 154.0)
(326, 211, 52.0)
(326, 779, 255.0)
(889, 783, 256.0)
(326, 205, 344.0)
(205, 57, 144.0)
(57, 39, 228.0)
(39, 53, 23.0)
(53, 190, 68.0)
(39, 362, 117.0)
(39, 363, 262.0)
(363, 143, 226.0)
(190, 315, 301.0)
(315, 561, 97.0)
(39, 202, 320.0)
(202, 262, 209.0)
(262, 438, 240.0)
(438, 1005, 259.0)
(262, 502, 278.0)
(438, 302, 314.0)
(57, 111, 327.0)
(57, 488, 333.0)
(438, 392, 346.0)
(392, 892, 27.0)
(136, 232, 349.0)
(232, 815, 258.0)
(232, 90, 269.0)
(815, 848, 270.0)
(211, 207, 351.0)
(211, 215, 365.0)
(9, 23, 366.0)
(23, 16, 195.0)
(23, 181, 207.0)
(326, 628, 368.0)
(57, 491, 371.0)
(491, 165, 273.0)
(551, 355, 372.0)
(438, 115, 379.0)
(115, 343, 54.0)
(343, 180, 40.0)
(343, 676, 170.0)
(676, 659, 281.0)
(659, 663, 86.0)
(659, 351, 148.0)
(659, 567, 217.0)
(567, 444, 377.0)
(444, 347, 133.0)
(444, 376, 166.0)
(376, 133, 95.0)
(133, 70, 60.0)
(133, 253, 152.0)
(133, 707, 164.0)
(133, 337, 247.0)
(337, 353, 231.0)
(353, 40, 13.0)
(40, 375, 106.0)
(353, 364, 167.0)
(40, 105, 193.0)
(353, 572, 200.0)
(572, 556, 41.0)
(572, 403, 92.0)
(572, 144, 105.0)
(556, 151, 113.0)
(144, 330, 216.0)
(330, 30, 107.0)
(30, 103, 35.0)
(40, 193, 238.0)
(133, 371, 263.0)
(70, 532, 290.0)
(103, 134, 303.0)
(134, 479, 183.0)
(353, 38, 342.0)
(38, 357, 8.0)
(357, 961, 99.0)
(38, 106, 143.0)
(38, 313, 343.0)
(313, 457, 243.0)
(133, 10, 347.0)
(10, 130, 67.0)
(10, 1, 93.0)
(1, 32, 32.0)
(130, 296, 223.0)
(130, 584, 323.0)
(296, 876, 328.0)
(876, 286, 348.0)
(286, 874, 168.0)
(10, 137, 361.0)
(376, 971, 369.0)
(353, 83, 376.0)
(40, 50, 378.0)
(50, 2, 115.0)
(50, 445, 142.0)
(445, 192, 31.0)
(192, 517, 5.0)
(192, 600, 126.0)
(445, 126, 218.0)
(2, 5, 221.0)
(600, 87, 225.0)
(87, 203, 127.0)
(50, 447, 292.0)
(5, 80, 294.0)
(80, 586, 161.0)
(80, 459, 197.0)
(459, 1001, 63.0)
(459, 51, 340.0)
(51, 247, 101.0)
(51, 458, 140.0)
